X--_uc251498ff9 1::[V(_uc263a294881)],Y--_uc251498ff9 1::[V(_uc263a294881)],,X--_uc251498ff9 2::[V(_uc263a294882)],Y--_uc251498ff9 2::[V(_uc263a294882)]
0.00274274,0.0373699,,0.00274274,0.0432222
0.00275274,0.0373691,,0.00275274,0.0494429
0.00276274,0.0373683,,0.00276274,0.0564673
0.00277274,0.0373675,,0.00277274,0.0643757
0.00278274,0.0373666,,0.00278274,0.0732512
0.00279274,0.0373658,,0.00279274,0.0831777
0.00280274,0.037365,,0.00280274,0.0942396
0.00281274,0.0373642,,0.00281274,0.106519
0.00282274,0.0373633,,0.00282274,0.120096
0.00283274,0.0373625,,0.00283274,0.135044
0.00284274,0.0373617,,0.00284274,0.15143
0.00285274,0.0373609,,0.00285274,0.169315
0.00286274,0.03736,,0.00286274,0.188749
0.00287274,0.0373593,,0.00287274,0.209772
0.00288274,0.0373584,,0.00288274,0.232412
0.00289274,0.0373576,,0.00289274,0.268138
0.00290274,0.0373568,,0.00290274,0.306642
0.00291274,0.037356,,0.00291274,0.345762
0.00292224,0.0373552,,0.00292224,0.384328
0.00293224,0.0373544,,0.00293224,0.425766
0.00294224,0.0373536,,0.00294224,0.468105
0.00295224,0.0373528,,0.00295224,0.511286
0.00296224,0.037352,,0.00296224,0.555238
0.00297224,0.0373512,,0.00297224,0.599908
0.00298224,0.0373503,,0.00298224,0.645241
0.00299224,0.0373495,,0.00299224,0.691194
0.00300224,0.0373487,,0.00300224,0.737722
0.00301224,0.0373479,,0.00301224,0.784792
0.00302224,0.0373471,,0.00302224,0.832366
0.00303224,0.0373463,,0.00303224,0.880417
0.00304224,0.0373455,,0.00304224,0.928913
0.00305224,0.0373447,,0.00305224,0.977832
0.00306224,0.0373439,,0.00306224,1.02715
0.00307224,0.0373431,,0.00307224,1.07684
0.00308224,0.0373423,,0.00308224,1.12689
0.00309224,0.0373415,,0.00309224,1.17727
0.00310224,0.0373407,,0.00310224,1.22797
0.00311224,0.0373399,,0.00311224,1.27898
0.00312224,0.0373391,,0.00312224,1.33027
0.00313224,0.0373383,,0.00313224,1.38184
0.00314224,0.0373375,,0.00314224,1.43367
0.00315224,0.0373367,,0.00315224,1.48574
0.00316224,0.0373359,,0.00316224,1.53806
0.00317224,0.0373351,,0.00317224,1.5906
0.00318224,0.0373344,,0.00318224,1.64335
0.00319224,0.0373336,,0.00319224,1.69631
0.00320224,0.0373328,,0.00320224,1.74946
0.00321224,0.037332,,0.00321224,1.8028
0.00322224,0.0373312,,0.00322224,1.85632
0.00323224,0.0373304,,0.00323224,1.91001
0.00324224,0.0373296,,0.00324224,1.96386
0.00325224,0.0373288,,0.00325224,2.01788
0.00326224,0.037328,,0.00326224,2.07204
0.00327224,0.0373273,,0.00327224,2.12634
0.00328224,0.0373265,,0.00328224,2.18078
0.00329224,0.0373257,,0.00329224,2.23536
0.00330224,0.0373249,,0.00330224,2.29006
0.00331224,0.0373241,,0.00331224,2.34488
0.00332224,0.0373233,,0.00332224,2.39981
0.00333224,0.0373226,,0.00333224,2.45486
0.00334224,0.0373218,,0.00334224,2.51002
0.00335224,0.037321,,0.00335224,2.56527
0.00336224,0.0373202,,0.00336224,2.62062
0.00337224,0.0373195,,0.00337224,2.67606
0.00338224,0.0373187,,0.00338224,2.73158
0.00339224,0.0373179,,0.00339224,2.78718
0.00340224,0.0373171,,0.00340224,2.84286
0.00341224,0.0373164,,0.00341224,2.89861
0.00342224,0.0373156,,0.00342224,2.95443
0.00343224,0.0373148,,0.00343224,3.01032
0.00344224,0.037314,,0.00344224,3.06627
0.00345224,0.0373133,,0.00345224,3.12227
0.00346224,0.0373125,,0.00346224,3.17832
